id,title,context,question,answers
5727dd9c4b864d1900163f181,etica1,"Expansión y personalización: Si lo deseas, puedes expandir aún más el mapa mental agregando subramas o detalles adicionales a medida que exploras cada tema en más profundidad. Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario.",¿Qué secciones del mapa mental pueden ser modificadas para satisfacer las necesidades individuales del estudiante?,"{'answer_start': [176], 'text': ['Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario']}"
5727dd9c4b864d1900163f185,etica1,"Expansión y personalización: Si lo deseas, puedes expandir aún más el mapa mental agregando subramas o detalles adicionales a medida que exploras cada tema en más profundidad. Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario.",¿Qué secciones del mapa mental pueden ser personalizadas de acuerdo con las experiencias del estudiante universitario?,"{'answer_start': [176], 'text': ['Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario']}"
5727dd9c4b864d1900163f632,etica2,"Ramas principales: A partir del centro, traza ramas principales que representen las áreas clave relacionadas con la experiencia de los estudiantes universitarios. Algunas ideas para las ramas principales:",¿Qué áreas clave de la experiencia estudiantil universitaria se sugieren como ramas principales?,"{'answer_start': [], 'text': ['No se sugieren específicamente en las instrucciones']}"
5727dd9c4b864d1900163f283,etica2,"1. Introducción:
○ Presenta el tema de los cuestionamientos éticos y morales en el ámbito
profesional, con un enfoque específico en el campo de TI.",¿Qué sector específico del conocimiento trata el ensayo en relación con la ética y la moral?,"{'answer_start': [107], 'text': ['un enfoque específico en el campo de TI.']}"
5727dd9c4b864d1900163f21,etica1,"Ramas principales: A partir del centro, traza ramas principales que representen las áreas clave relacionadas con la experiencia de los estudiantes universitarios. Algunas ideas para las ramas principales:
Ramificaciones secundarias: A partir de cada rama principal, traza ramificaciones secundarias que representen subtemas o aspectos específicos de cada área.",¿Qué sección del mapa mental representa aspectos específicos de la experiencia académica?,"{'answer_start': [205], 'text': ['Ramificaciones secundarias']}"
5727dd9c4b864d1900163f484,etica2,"Examina cómo los cuestionamientos éticos en el ámbito profesional de TI pueden afectar a la sociedad en general y a los individuos.
Reflexiona sobre las posibles consecuencias negativas de la falta de ética y moral en el trabajo de los profesionales de TI.","¿Qué efectos adversos pueden experimentar los individuos debido a los dilemas éticos en el campo de TI, según se examina en el texto?","{'answer_start': [153], 'text': ['posibles consecuencias negativas de la falta de ética y moral en el trabajo de los profesionales de TI']}"
5727dd9c4b864d1900163f1371,qualityLab3,"Tanto si encuentra una herramienta que permita aplicar la técnica o si no la encuentra, se debe explicar mediante un ejemplo como se aplica la técnica. El objetivo de esta explicación es que los alumnos puedan entender como se desarrolla la técnica manualmente, para esto se explicara con un ejemplo la técnica y se propondrá otro para que lo desarrollen los alumnos en clase.",¿Qué se espera lograr con esta explicación?,"{'answer_start': [187], 'text': ['que los alumnos puedan entender como se desarrolla la técnica manualmente']}"
5727dd9c4b864d1900163f850,TIC,"Metodología: Debe estar redactada en pasado e impersonal. Abarca tres aspectos: área de estudio, procedimiento, procesamiento y análisis de datos.",¿Cómo se debe redactar la sección de metodología para garantizar la objetividad y la precisión?,"{'answer_start': [13], 'text': ['Debe estar redactada en pasado e impersonal. Abarca tres aspectos: área de estudio, procedimiento, procesamiento y análisis de datos']}"
5727dd9c4b864d1900163f972,hvpin1,"La tarea descrita deberá realizarla mediante el uso de librerías de visión por computador, al finalizar enviarla al EVA-UNL hasta las 23:59 pm del día Lunes 13 de Noviembre de 2023.",¿Cuándo se requiere tener listo el trabajo para enviarlo?,"{'answer_start': [151], 'text': ['Lunes 13 de Noviembre de 2023']}"
5727dd9c4b864d1900163f249,etica1,"1. Tema central: Coloca en el centro del mapa mental el tema ""Estudiantes universitarios"" y dibuja un círculo o una imagen representativa.
2. Ramas principales
3. Ramificaciones secundarias
4. Detalles y conexiones
5. Expansión y personalización",¿Cuántas partes se distinguen dentro del tema central?,"{'answer_start': [215], 'text': ['5']}"
